2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4, 5, 7, 8, 9, 9, 8, 8, 8, 7
1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 5, 6, 8, 9, 9, 8, 7, 7, 7 
1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 4, 5, 6, 8, 9, 9, 8, 7, 7, 7, 8
2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 7, 9, 9, 8, 8, 8, 8, 8
1, 1, 2, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4, 7, 8, 9, 9, 8, 8, 8, 7, 7
3, 3, 2, 2, 2, 2, 2, 2, 3, 4, 4, 4, 4, 4, 5, 6, 7, 8, 9, 8, 8, 8, 8, 7
2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 6, 9, 9, 9, 9, 8, 8, 8, 7
3, 3, 3, 3, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 7, 8, 9, 9, 9, 9, 8, 8
2, 2, 2, 2, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 5, 7, 8, 8, 9, 8, 8, 8, 8
2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 5, 5, 7, 8, 9, 9, 8, 8, 8, 8, 7
